country,rule_of_law,control_of_corruption,gdp,education,region_code,region
Albania,-.40174302,-.41830903,.47161293,9.8546467,Europe and Central Asia,3
United Arab Emirates,.79766947,1.133604,2.3069911,8.877758,Middle East and North Africa,5
Argentina,-.24561092,-.25594601,.51923651,9.4750652,Latin America and the Caribbean,4
Armenia,-.1555746,-.5604561,.4168843,10.867902,Europe and Central Asia,3
Australia,1.6818374,1.7950495,1.3477329,11.770456,Advanced Economies,1
Austria,1.8124728,1.5260113,1.3384742,9.8855085,Advanced Economies,1
Burundi,-1.3955919,-1.2838748,.026959624,2.6763494,Sub-Saharan Africa,7
Belgium,1.3434273,1.4971172,1.404564,10.780526,Advanced Economies,1
Benin,-.62462538,-.55411166,.075086355,3.3007889,Sub-Saharan Africa,7
Bangladesh,-.67121655,-.8317309,.1219471,4.9086552,South Asia,6
Bulgaria,-.040922999,-.16111226,.5536691,11.452109,Europe and Central Asia,3
Bahrain,.4467034,-.14095958,.96282482,6.786551,Middle East and North Africa,5
Belize,-.95834428,-.27197993,.24348526,11.585791,Latin America and the Caribbean,4
Bolivia,-1.2082742,-.65730393,.19185539,7.7722111,Latin America and the Caribbean,4
Brazil,-.28436524,-.53207302,.39408922,7.6591902,Latin America and the Caribbean,4
Barbados,.65751946,1.4211093,.29963806,9.3184547,Latin America and the Caribbean,4
Brunei Darussalam,.64684665,.71263498,1.6376519,8.7666101,East Asia and the Pacific,2
Botswana,.51935899,.79510087,.52192426,8.8693933,Sub-Saharan Africa,7
Central African Republic,-1.731486,-1.1732126,.026841426,3.568996,Sub-Saharan Africa,7
Canada,1.8011968,1.9242579,1.2166398,12.557427,Advanced Economies,1
Switzerland,1.9278939,1.9890344,1.5859244,13.416742,Advanced Economies,1
Chile,1.0117365,1.0392905,.71469945,9.7085085,Latin America and the Caribbean,4
China,-.26295623,-.26993641,.31556746,7.5288792,East Asia and the Pacific,2
Côte d'Ivoire,-.63022566,-.52532959,.15420245,4.2243242,Sub-Saharan Africa,7
Cameroon,-1.0316336,-1.1993233,.10914191,5.9568801,Sub-Saharan Africa,7
"Congo, Rep.",-1.1037608,-1.33061,.15673047,5.6729097,Sub-Saharan Africa,7
Colombia,-.3600142,-.37002084,.38616982,8.445384,Latin America and the Caribbean,4
Costa Rica,.45482081,.4666402,.52797616,7.8443322,Latin America and the Caribbean,4
Cyprus,.88494974,.78272885,1.0623,11.112175,Middle East and North Africa,5
Czech Republic,1.116695,.56767696,.91528916,13.161693,Europe and Central Asia,3
Germany,1.6083387,1.8410892,1.3125875,12.689937,Advanced Economies,1
Denmark,1.8638459,2.1933787,1.3160015,11.527483,Advanced Economies,1
Dominican Republic,-.41797605,-.7389133,.49315944,7.4597878,Latin America and the Caribbean,4
Algeria,-.86393833,-.60417515,.65712756,5.9832931,Middle East and North Africa,5
Ecuador,-.70141739,-.59961838,.29476336,7.4399037,Latin America and the Caribbean,4
"Egypt, Arab Rep.",-.54253775,-.5521881,.53320062,6.5505743,Middle East and North Africa,5
Spain,1.0084704,.49176788,1.2206995,10.30247,Advanced Economies,1
Estonia,1.2818812,1.2424127,.7810508,12.483944,Europe and Central Asia,3
Finland,2.0270729,2.2158105,1.2546998,10.20797,Advanced Economies,1
Fiji,-.24565355,.35904762,.28451794,9.5809288,East Asia and the Pacific,2
France,1.4383175,1.2594825,1.3527018,10.642907,Advanced Economies,1
Gabon,-.68242997,-.81611407,.64880943,7.5683417,Sub-Saharan Africa,7
United Kingdom,1.6794695,1.8433434,1.1525708,12.322561,Advanced Economies,1
Ghana,.12986724,-.22903509,.14143738,6.7622733,Sub-Saharan Africa,7
"Gambia, The",-.43494555,-.62923926,.12682973,2.8154826,Sub-Saharan Africa,7
Greece,.083919302,-.1383459,.86664361,10.25596,Advanced Economies,1
Guatemala,-1.0599961,-.73986679,.23813628,4.3017092,Latin America and the Caribbean,4
"Hong Kong SAR, China",1.7178434,1.6149285,1.330635,11.015143,East Asia and the Pacific,2
Honduras,-1.0462719,-.71769822,.13642293,5.4950104,Latin America and the Caribbean,4
Croatia,.33424833,.1867006,.8993997,11.416116,Europe and Central Asia,3
Haiti,-1.0881487,-1.2382038,.058546145,4.7392163,Latin America and the Caribbean,4
Hungary,.52967697,.089291468,.73295581,12.142828,Europe and Central Asia,3
Indonesia,-.34648168,-.25270873,.31385979,7.256609,East Asia and the Pacific,2
India,.004769078,-.23980765,.21953095,5.3866425,South Asia,6
Ireland,1.4279832,1.5485647,2.44578,12.198545,Advanced Economies,1
"Iran, Islamic Rep.",-.68306047,-.81169271,.81278259,8.1712627,Middle East and North Africa,5
Iraq,-1.6374482,-1.372133,.9146806,6.3815894,Middle East and North Africa,5
Iceland,1.6065758,1.8381212,1.0636957,10.588748,Advanced Economies,1
Israel,1.0213722,.82671154,1.0479639,12.763445,Middle East and North Africa,5
Italy,.32462475,.18859977,1.2970237,9.5366983,Advanced Economies,1
Jamaica,-.15652809,-.17250839,.24600337,9.6674862,Latin America and the Caribbean,4
Jordan,.26132798,.2597678,.54709542,9.2130566,Middle East and North Africa,5
