course_eval,beauty,female,minority,nnenglish,intro,onecredit,age
4.3,0.2899157,1,1,0,0,0,36
4.5,-0.7377322,0,0,0,0,0,59
3.7,-0.5719836,0,0,0,0,0,51
4.3,-0.6779634,1,0,0,0,0,40
4.4,1.509794,1,0,0,0,0,31
4.2,0.5885687,0,0,0,0,0,62
4,-0.126001,1,0,0,0,0,33
3.4,-0.2581899,1,0,0,0,0,51
4.5,0.1496926,1,0,0,0,0,33
3.9,0.540917,0,0,0,0,0,47
3.1,0.2316134,0,1,1,0,0,35
4,-0.0666737,0,0,0,0,0,37
3.8,0.2168924,0,0,0,0,0,42
3.4,-0.2586962,0,0,1,0,0,49
2.9,0.5502878,1,0,0,0,0,37
4.5,-0.0620358,0,0,0,0,0,45
4,-0.9823852,1,0,0,0,0,56
3.8,-0.054344,0,0,0,1,0,48
4.3,-0.0680143,1,0,0,0,0,46
3.4,0.0294137,1,0,0,0,0,57
3.4,0.2394859,1,0,0,0,0,52
3.3,-0.8487269,1,1,1,0,0,29
4.3,-0.7330914,0,0,0,0,0,62
4.4,-0.1111221,0,0,0,0,0,64
4.6,1.775517,1,0,0,0,0,34
4.2,-0.3218485,0,0,0,0,0,58
4,0.2116939,0,1,1,0,0,52
3.3,-0.717645,0,0,0,0,0,73
4.4,-0.7326927,0,0,0,0,0,70
2.3,0.4081676,1,0,0,0,0,41
3.5,-0.0102077,0,0,0,0,0,63
4.7,-0.923957,0,0,0,0,0,47
3.9,0.5766805,0,0,0,1,0,39
4,-0.0836015,1,1,0,1,0,47
4.3,-1.079558,0,0,0,0,0,54
3.8,1.040902,1,1,0,0,0,44
3.8,-1.052108,0,1,0,0,0,47
4,-0.7277681,0,0,0,0,0,62
4.6,-0.3953965,0,0,0,0,0,60
3.5,0.9333959,0,0,0,0,0,37
4.7,-0.2377786,0,0,0,0,0,42
4.2,0.274908,0,0,0,0,0,35
3.4,1.970023,1,0,0,1,0,39
3.9,1.05095,0,0,0,0,0,49
4.5,0.2418185,0,0,0,1,0,61
4.7,1.349395,0,0,0,0,0,33
3.5,0.1115635,1,0,0,0,0,58
3.7,-0.2577254,1,0,0,0,0,56
4,-0.6562689,1,0,0,1,0,50
4.1,-0.6563948,0,0,0,0,0,52
4.4,0.7244775,1,0,0,0,0,33
4.2,0.6318343,0,0,0,0,0,57
4.5,1.070944,1,0,0,0,0,38
3.8,-1.450494,1,0,0,1,0,34
3.1,1.15588,0,0,0,0,0,34
3.7,-0.3260148,0,0,0,1,0,32
3.9,0.8846435,1,0,0,1,0,42
4,-0.5583452,1,0,0,1,0,43
3.3,-0.3415543,0,0,1,0,0,35
3.1,-0.5040575,1,0,0,0,0,62
4,-0.9005804,0,0,0,0,0,42
4.3,0.6430142,0,0,0,0,0,39
3.7,0.773524,1,0,0,0,0,52
3.4,1.063938,1,0,0,0,0,52
4.3,-1.090389,1,0,0,0,0,52
3.7,-1.069162,0,0,0,0,0,64
