country,rule_of_law,control_of_corruption,gdp,education,region_code
Albania,-0.40174302,-0.41830903,0.47161293,9.8546467,Europe and Central Asia
United Arab Emirates,0.79766947,1.133604,2.3069911,8.877758,Middle East and North Africa
Argentina,-0.24561092,-0.25594601,0.51923651,9.4750652,Latin America and the Caribbean
Armenia,-0.1555746,-0.5604561,0.4168843,10.867902,Europe and Central Asia
Australia,1.6818374,1.7950495,1.3477329,11.770456,Advanced Economies
Austria,1.8124728,1.5260113,1.3384742,9.8855085,Advanced Economies
Burundi,-1.3955919,-1.2838748,0.026959624,2.6763494,Sub-Saharan Africa
Belgium,1.3434273,1.4971172,1.404564,10.780526,Advanced Economies
Benin,-0.62462538,-0.55411166,0.075086355,3.3007889,Sub-Saharan Africa
Bangladesh,-0.67121655,-0.8317309,0.1219471,4.9086552,South Asia
Bulgaria,-0.040922999,-0.16111226,0.5536691,11.452109,Europe and Central Asia
Bahrain,0.4467034,-0.14095958,0.96282482,6.786551,Middle East and North Africa
Belize,-0.95834428,-0.27197993,0.24348526,11.585791,Latin America and the Caribbean
Bolivia,-1.2082742,-0.65730393,0.19185539,7.7722111,Latin America and the Caribbean
Brazil,-0.28436524,-0.53207302,0.39408922,7.6591902,Latin America and the Caribbean
Barbados,0.65751946,1.4211093,0.29963806,9.3184547,Latin America and the Caribbean
Brunei Darussalam,0.64684665,0.71263498,1.6376519,8.7666101,East Asia and the Pacific
Botswana,0.51935899,0.79510087,0.52192426,8.8693933,Sub-Saharan Africa
Central African Republic,-1.731486,-1.1732126,0.026841426,3.568996,Sub-Saharan Africa
Canada,1.8011968,1.9242579,1.2166398,12.557427,Advanced Economies
Switzerland,1.9278939,1.9890344,1.5859244,13.416742,Advanced Economies
Chile,1.0117365,1.0392905,0.71469945,9.7085085,Latin America and the Caribbean
China,-0.26295623,-0.26993641,0.31556746,7.5288792,East Asia and the Pacific
Cote d'Ivoire,-0.63022566,-0.52532959,0.15420245,4.2243242,Sub-Saharan Africa
Cameroon,-1.0316336,-1.1993233,0.10914191,5.9568801,Sub-Saharan Africa
"Congo, Rep.",-1.1037608,-1.33061,0.15673047,5.6729097,Sub-Saharan Africa
Colombia,-0.3600142,-0.37002084,0.38616982,8.445384,Latin America and the Caribbean
Costa Rica,0.45482081,0.4666402,0.52797616,7.8443322,Latin America and the Caribbean
Cyprus,0.88494974,0.78272885,1.0623,11.112175,Middle East and North Africa
Czech Republic,1.116695,0.56767696,0.91528916,13.161693,Europe and Central Asia
Germany,1.6083387,1.8410892,1.3125875,12.689937,Advanced Economies
Denmark,1.8638459,2.1933787,1.3160015,11.527483,Advanced Economies
Dominican Republic,-0.41797605,-0.7389133,0.49315944,7.4597878,Latin America and the Caribbean
Algeria,-0.86393833,-0.60417515,0.65712756,5.9832931,Middle East and North Africa
Ecuador,-0.70141739,-0.59961838,0.29476336,7.4399037,Latin America and the Caribbean
"Egypt, Arab Rep.",-0.54253775,-0.5521881,0.53320062,6.5505743,Middle East and North Africa
Spain,1.0084704,0.49176788,1.2206995,10.30247,Advanced Economies
Estonia,1.2818812,1.2424127,0.7810508,12.483944,Europe and Central Asia
Finland,2.0270729,2.2158105,1.2546998,10.20797,Advanced Economies
Fiji,-0.24565355,0.35904762,0.28451794,9.5809288,East Asia and the Pacific
France,1.4383175,1.2594825,1.3527018,10.642907,Advanced Economies
Gabon,-0.68242997,-0.81611407,0.64880943,7.5683417,Sub-Saharan Africa
United Kingdom,1.6794695,1.8433434,1.1525708,12.322561,Advanced Economies
Ghana,0.12986724,-0.22903509,0.14143738,6.7622733,Sub-Saharan Africa
"Gambia, The",-0.43494555,-0.62923926,0.12682973,2.8154826,Sub-Saharan Africa
Greece,0.083919302,-0.1383459,0.86664361,10.25596,Advanced Economies
Guatemala,-1.0599961,-0.73986679,0.23813628,4.3017092,Latin America and the Caribbean
"Hong Kong SAR, China",1.7178434,1.6149285,1.330635,11.015143,East Asia and the Pacific
Honduras,-1.0462719,-0.71769822,0.13642293,5.4950104,Latin America and the Caribbean
Croatia,0.33424833,0.1867006,0.8993997,11.416116,Europe and Central Asia
Haiti,-1.0881487,-1.2382038,0.058546145,4.7392163,Latin America and the Caribbean
Hungary,0.52967697,0.089291468,0.73295581,12.142828,Europe and Central Asia
Indonesia,-0.34648168,-0.25270873,0.31385979,7.256609,East Asia and the Pacific
India,0.004769078,-0.23980765,0.21953095,5.3866425,South Asia
Ireland,1.4279832,1.5485647,2.44578,12.198545,Advanced Economies
"Iran, Islamic Rep.",-0.68306047,-0.81169271,0.81278259,8.1712627,Middle East and North Africa
Iraq,-1.6374482,-1.372133,0.9146806,6.3815894,Middle East and North Africa
Iceland,1.6065758,1.8381212,1.0636957,10.588748,Advanced Economies
Israel,1.0213722,0.82671154,1.0479639,12.763445,Middle East and North Africa
Italy,0.32462475,0.18859977,1.2970237,9.5366983,Advanced Economies
Jamaica,-0.15652809,-0.17250839,0.24600337,9.6674862,Latin America and the Caribbean
Jordan,0.26132798,0.2597678,0.54709542,9.2130566,Middle East and North Africa
Japan,1.5661924,1.5224291,1.0610523,11.518649,Advanced Economies
Kazakhstan,-0.41143742,-0.82098883,0.64125437,11.419392,Europe and Central Asia
Kenya,-0.41320711,-0.95371789,0.10803307,6.1936951,Sub-Saharan Africa
Kyrgyz Republic,-0.9252606,-1.0540224,0.3573921,11.082103,Europe and Central Asia
Cambodia,-1.0561374,-1.2913808,0.078345492,4.0951867,East Asia and the Pacific
"Korea, Rep.",1.1634279,0.48082983,1,11.893398,East Asia and the Pacific
Kuwait,0.10146234,-0.33150372,1.202875,6.2610645,Middle East and North Africa
Lao PDR,-0.8815068,-0.93593121,0.17936994,4.5727887,East Asia and the Pacific
Liberia,-0.95086229,-0.66281682,0.03482141,4.0890722,Sub-Saharan Africa
Sri Lanka,0.055441722,-0.45185545,0.50140578,9.7557421,South Asia
Lesotho,-0.27484158,-0.030946538,0.14861813,5.6290636,Sub-Saharan Africa
Lithuania,0.99265039,0.55372977,0.80171001,11.048411,Europe and Central Asia
Luxembourg,1.737713,1.9854969,1.5083048,11.219034,Advanced Economies
Latvia,0.93137854,0.53582478,0.7650463,10.476034,Europe and Central Asia
"Macao SAR, China",0.84846795,0.64200479,1.9173509,8.0858707,East Asia and the Pacific
Morocco,-0.16215426,-0.13947742,0.31780764,4.2354503,Middle East and North Africa
Moldova,-0.41421261,-0.79862672,0.25026578,10.657005,Europe and Central Asia
Maldives,-0.61523205,-0.78759253,0.41089574,4.3805261,South Asia
Mexico,-0.56667227,-0.92798698,0.571679,8.3269424,Latin America and the Caribbean
Mali,-0.77818602,-0.64031261,0.085616842,1.4999418,Sub-Saharan Africa
Malta,1.1436204,0.73965257,0.98998809,10.329608,Middle East and North Africa
Myanmar,-0.94545496,-0.56526279,0.13766089,4.0935268,East Asia and the Pacific
Mongolia,-0.30304247,-0.45170638,0.3935526,9.2844238,East Asia and the Pacific
Mozambique,-0.9878509,-0.83484119,0.052254554,1.2409807,Sub-Saharan Africa
Mauritania,-0.59929043,-0.75131375,0.15951414,3.7691143,Sub-Saharan Africa
Mauritius,0.68154055,0.20116483,0.7225005,8.1861773,Sub-Saharan Africa
Malawi,-0.36957401,-0.65800351,0.037586171,4.2948198,Sub-Saharan Africa
Malaysia,0.41422355,0.025743745,0.70282507,9.7497025,East Asia and the Pacific
Namibia,0.24124067,0.3206743,0.49080363,6.219913,Sub-Saharan Africa
Niger,-0.68097317,-0.66336691,0.028926218,1.4522555,Sub-Saharan Africa
Nicaragua,-0.64489758,-0.87222362,0.16453904,5.9956803,Latin America and the Caribbean
Netherlands,1.8300229,1.8672781,1.3173205,11.596623,Advanced Economies
Norway,2.0202792,2.2367768,1.6913483,11.799294,Advanced Economies
Nepal,-0.67600924,-0.74956834,0.06610693,3.3142741,South Asia
New Zealand,1.9228568,2.2411146,0.97653246,11.296254,Advanced Economies
Pakistan,-0.72389728,-0.77828372,0.24112888,4.4531817,South Asia
Panama,0.038474891,-0.53976434,0.65120345,9.1455259,Latin America and the Caribbean
Peru,-0.50129873,-0.49626312,0.30448508,8.6841478,Latin America and the Caribbean
Philippines,-0.41452152,-0.47556987,0.28881282,8.1795788,East Asia and the Pacific
Poland,0.4725602,0.72498477,0.90608978,11.420788,Europe and Central Asia
Portugal,1.1321495,0.87394315,0.73920763,7.1999183,Advanced Economies
Paraguay,-0.6510393,-0.7252022,0.24848844,7.2406554,Latin America and the Caribbean
Qatar,0.72341627,0.73389083,1.6130487,8.451685,Middle East and North Africa
Romania,0.38754094,-0.031477556,0.85729539,10.813145,Europe and Central Asia
Russian Federation,-0.79357266,-0.89239126,0.67889476,11.725595,Europe and Central Asia
Rwanda,0.12862228,0.63302964,0.054679826,3.4844468,Sub-Saharan Africa
Saudi Arabia,0.098960109,0.36382324,1.4806452,7.7855353,Middle East and North Africa
Sudan,-1.109521,-1.5319639,0.28592017,3.1287496,Sub-Saharan Africa
Senegal,-0.14366002,-0.089106098,0.13488841,2.398963,Sub-Saharan Africa
Singapore,1.822845,2.1335821,1.634693,10.625484,East Asia and the Pacific
Sierra Leone,-0.78117669,-0.56615651,0.062053535,3.0590014,Sub-Saharan Africa
El Salvador,-0.8559342,-0.50670815,0.22409913,7.655354,Latin America and the Caribbean
Serbia,-0.19234037,-0.37511286,0.42167693,10.970866,Europe and Central Asia
Slovak Republic,0.57122934,0.22376963,0.86271268,13.065777,Europe and Central Asia
Slovenia,1.0234654,0.81379932,0.87206215,12.134577,Europe and Central Asia
Sweden,1.9361565,2.1389346,1.2569903,11.889055,Advanced Economies
Swaziland,-0.28363502,-0.27137116,0.41672781,4.0187602,Sub-Saharan Africa
Syrian Arab Republic,-2.0903654,-1.562994,0.35837525,6.2482181,Middle East and North Africa
Togo,-0.71549016,-0.71097183,0.050605327,4.3259978,Sub-Saharan Africa
Thailand,0.043706503,-0.38588184,0.39994442,7.3018923,East Asia and the Pacific
Tajikistan,-1.3543028,-1.3310505,0.21474504,10.902244,Europe and Central Asia
Trinidad and Tobago,-0.10863175,-0.36454335,1.1252763,10.369142,Latin America and the Caribbean
Tunisia,0.06151969,-0.10864177,0.53837633,6.5797377,Middle East and North Africa
Turkey,-0.25018004,-0.19324103,1.1374689,6.5640197,Advanced Economies
"Taiwan, China",1.1374477,0.96478045,1.2443433,10.713128,East Asia and the Pacific
Tanzania,-0.44500634,-0.46308967,0.07639575,5.1158261,Sub-Saharan Africa
Uganda,-0.29584324,-1.0423155,0.067004167,5.4165716,Sub-Saharan Africa
Ukraine,-0.71142912,-0.78394699,0.37598923,11.344605,Europe and Central Asia
Uruguay,0.58572268,1.2927091,0.56935966,8.1095028,Latin America and the Caribbean
United States,1.6447611,1.3812418,1.6099749,13.423626,Advanced Economies
"Venezuela, RB",-2.2552857,-1.3640571,0.24925512,8.1615524,Latin America and the Caribbean
Vietnam,0.069474362,-0.58313501,0.14975896,7.4463978,East Asia and the Pacific
"Yemen, Rep.",-1.7530797,-1.5927856,0.13975477,2.5971262,Middle East and North Africa
South Africa,-0.037855595,-0.021827128,0.52234977,9.4301872,Sub-Saharan Africa
"Congo, Dem. Rep.",-1.689818,-1.4181195,0.029275279,3.6126063,Sub-Saharan Africa
Zambia,-0.32504594,-0.54221278,0.17398918,6.5986695,Sub-Saharan Africa
Zimbabwe,-1.3778551,-1.2735837,0.049029272,7.2474103,Sub-Saharan Africa
